"price","host_is_superhost","host_identity_verified","instant_bookable","host_listings_count","host_total_listings_count","bedrooms","bathrooms","accommodates","beds","room_type","Amenities_Offered"
70,0,1,0,0,0,1,1.5,1,1,1,20
60,0,1,1,2,2,1,1,2,1,1,27
140,0,1,1,0,0,1,1,2,1,1,23
250,0,0,1,0,0,1,1,2,1,0,7
52,0,0,0,1,1,1,1,1,1,1,11
400,0,1,0,1,1,2,1,4,2,0,30
200,0,0,0,0,0,2,1,4,4,0,11
450,0,1,0,9,9,4,2,8,6,0,35
80,1,0,0,0,0,1,1,2,1,0,22
86,1,1,1,0,0,1,1,3,2,0,30
160,1,1,0,1,1,2,1,4,3,0,29
123,1,1,0,2,2,1,1,2,1,0,32
130,0,1,0,4,4,1,1,2,1,0,19
400,1,1,0,2,2,3,1.5,6,3,0,41
357,1,0,0,1,1,3,1.5,8,3,0,56
80,0,0,0,1,1,1,1,2,1,0,30
95,1,1,1,1,1,2,1,6,2,0,40
350,1,1,1,1,1,1,1,3,2,0,27
75,1,1,1,2,2,1,1,2,1,0,28
150,0,1,1,1,1,4,1,6,4,0,34
210,0,0,1,0,0,4,2,8,5,0,54
85,0,0,0,1,1,2,1,4,2,0,35
430,1,1,0,1,1,3,2,4,4,0,36
350,0,1,0,0,0,2,1,4,2,0,10
364,0,1,1,26,26,4,3,6,5,0,27
375,0,1,1,0,0,2,2,4,2,0,20
130,1,0,0,0,0,1,1,2,3,0,13
350,0,0,1,1,1,2,1,6,3,0,18
120,1,1,0,6,6,1,1,2,1,1,25
120,1,1,0,6,6,1,1,2,1,1,37
400,0,1,0,1,1,3,2.5,8,5,0,21
200,0,0,0,0,0,3,1,6,4,0,25
80,0,0,0,1,1,1,1,2,1,1,13
130,1,0,1,2,2,2,1,4,5,1,28
329,0,1,0,2,2,4,2,8,7,0,29
250,1,1,0,7,7,4,1.5,10,7,0,33
183,0,1,0,0,0,4,1,10,6,0,24
250,0,0,0,0,0,3,1,8,6,0,25
155,1,1,1,4,4,1,1,2,1,1,14
110,1,1,0,1,1,1,1,2,1,0,26
180,1,0,1,1,1,3,1,5,3,0,31
225,1,1,0,1,1,1,1,4,2,0,41
155,1,1,0,1,1,1,1,4,2,0,35
195,0,1,1,4,4,1,1,2,1,3,38
519,0,1,1,316,316,3,1,8,5,0,13
547,0,1,1,2,2,2,1,5,3,1,12
202,0,1,1,2,2,1,1,2,1,0,41
100,1,1,0,1,1,2,1,4,3,1,55
123,1,0,1,1,1,1,1,4,1,0,18
145,1,1,0,3,3,1,1,2,1,1,19
290,0,0,0,0,0,1,1,2,1,0,31
300,1,1,0,0,0,4,2,9,7,0,37
147,1,1,1,0,0,2,1,7,3,0,23
246,0,1,1,2,2,3,1,6,4,0,16
350,1,0,1,0,0,3,1,6,4,1,15
100,1,1,1,0,0,1,1,7,6,0,14
82,0,0,0,0,0,1,1,2,1,0,22
110,0,1,0,2,2,1,1,2,1,0,17
65,0,1,0,7,7,1,4,6,3,1,17
500,0,0,0,0,0,4,3,11,7,0,43
99,0,0,0,0,0,1,1,2,1,0,9
229,1,1,0,2,2,2,1,6,3,0,34
89,0,1,1,1,1,1,1,2,1,2,9
146,0,1,1,1,1,2,1,5,4,1,22
502,0,1,1,3,3,2,1,4,2,0,45
120,0,1,1,39,39,4,3,10,8,0,33
250,0,0,0,1,1,2,2.5,4,2,0,19
459,0,1,0,1,1,4,4.5,16,14,0,13
263,0,1,1,52,52,3,2,6,4,0,32
660,0,1,1,0,0,2,1.5,4,2,0,14
314,0,1,0,0,0,5,2,10,5,0,37
110,1,1,1,0,0,2,1,3,2,0,31
159,1,1,1,2,2,1,1,4,1,0,23
150,0,0,0,0,0,2,1,6,5,0,25
260,0,1,0,1,1,3,1,7,6,0,24
575,0,0,1,0,0,1,1,3,1,0,11
59,0,1,1,19,19,1,1,2,1,1,31
263,0,1,1,98,98,3,1,8,4,0,27
405,0,1,0,107,107,1,1,4,3,1,6
145,0,1,1,98,98,1,1,3,3,0,23
90,0,0,1,1,1,2,1,4,2,0,45
250,0,1,1,3,3,1,1,2,1,0,30
60,0,0,1,1,1,1,1,2,1,1,29
165,0,1,1,316,316,2,1,6,4,0,13
277,0,1,1,316,316,4,3,9,6,0,16
70,1,1,1,1,1,1,1.5,2,1,1,9
336,1,1,1,6,6,1,1,3,2,1,37
75,0,0,0,0,0,2,1,3,2,1,39
195,1,1,0,1,1,3,1,6,7,0,58
80,1,1,0,2,2,1,1,2,1,1,12
69,0,1,1,19,19,1,1,2,1,1,32
189,0,1,0,5,5,1,1,4,2,1,9
276,1,1,0,1,1,5,2,12,9,0,20
163,0,1,0,46,46,3,1,6,4,0,23
40,0,1,1,4,4,2,1.5,4,3,1,23
65,1,1,1,1,1,1,1,2,1,1,36
100,0,1,1,16,16,2,1.5,6,3,1,29
140,1,0,1,0,0,1,1,2,1,1,33
80,0,0,0,0,0,1,1,2,1,1,10
110,1,0,0,1,1,2,1,4,2,1,22
196,1,1,1,1,1,3,1,6,4,0,26
250,0,1,1,316,316,3,2,8,4,0,14
205,1,1,1,0,0,4,2,8,4,0,42
60,0,1,0,3,3,1,1,2,1,1,24
106,0,1,0,1,1,3,1,6,4,1,41
153,0,1,0,46,46,3,1,7,5,0,12
75,1,1,1,1,1,1,1,4,4,0,28
90,0,1,1,0,0,1,1,3,2,0,55
60,0,1,0,0,0,2,1,4,3,0,31
244,0,1,1,98,98,3,1,7,6,0,17
284,0,1,1,98,98,3,1,5,3,0,26
140,1,1,0,2,2,1,1,5,4,0,39
184,1,1,1,1,1,2,1,6,2,0,28
183,0,1,1,73,73,2,1,5,3,0,13
650,1,1,0,0,0,8,2.5,16,32,0,27
112,1,1,1,2,2,1,1,2,1,0,40
120,1,1,1,1,1,2,1,8,5,0,41
200,1,1,1,6,6,2,1,4,2,0,49
160,0,1,0,2,2,1,1,2,1,1,9
450,1,1,1,2,2,4,2.5,12,6,0,37
179,0,1,0,0,0,1,1,4,2,0,59
145,0,0,1,12,12,1,3,2,1,1,27
585,0,0,1,0,0,1,1,3,1,0,11
230,0,1,1,98,98,2,1,4,2,0,27
200,0,0,0,0,0,3,2,6,3,0,31
250,0,1,0,1,1,5,2,10,7,0,30
193,0,1,1,98,98,1,1,2,1,0,26
436,0,0,0,0,0,4,2,8,4,0,39
125,0,1,0,4,4,1,1,2,1,0,42
479,1,1,0,0,0,4,2.5,9,8,0,51
108,0,1,0,1,1,2,1,4,2,0,19
95,0,1,0,1,1,2,1,4,3,0,34
195,1,1,0,1,1,2,2,4,2,0,27
210,0,1,1,98,98,3,1,6,3,0,28
130,1,1,1,2,2,1,1,2,1,0,24
379,0,1,1,98,98,4,2,7,2,0,17
178,1,1,1,2,2,2,1,4,2,0,31
114,1,1,0,1,1,1,1,3,1,0,61
220,0,0,1,1,1,1,1.5,4,3,0,8
80,0,1,1,1,1,1,1,3,2,0,21
132,1,1,0,2,2,1,1,2,1,0,41
167,0,1,1,98,98,1,1,3,2,0,24
247,0,1,1,98,98,3,0,6,3,0,26
85,1,1,1,5,5,1,1,2,1,1,23
90,1,1,0,1,1,1,1,2,1,0,31
140,1,1,1,1,1,2,1,6,3,0,45
180,1,0,0,1,1,3,1.5,6,3,0,16
